source_path	route	notes
backend/app/services/background_scene_analyzer_service.py	high_reasoning	LLM + response_format=json + 重试 + hash-key 缓存范本；P1/P2/P4 新 analyzer 直接复刻 _call_llm
backend/app/services/background_prompt_assembler_service.py	standard	背景 prompt 装配范本；P3 vngraph 装配器参考其拼装模式
backend/app/services/tts_service.py	high_reasoning	音色卡映射 + 音频缓存范本；P2 chapter_voice_service 直接调
backend/app/services/image_generation_service.py	high_reasoning	并发 + validator 重试范本；P1 继续作为底层入口
backend/app/services/asset_management_service.py	high_reasoning	Asset 表 CRUD + 批量生成入口；P1/P2 都改这里
backend/app/services/vn_graph_generator.py	high_reasoning	规则版 vngraph 骨架；P3 在此基础上扩字段
backend/app/services/llm_vn_graph_generator_simplified.py	high_reasoning	LLM 版 vngraph；P3 同样扩字段
backend/app/services/scene_segmenter_service.py	standard	段落切分范本；P2 voice 切片可参考其 LLM 切分模式
backend/app/agent/quality_check.py	standard	现有质量门；P4 ai_flavor_check 与之同级
backend/app/agent/auto_creator.py	high_reasoning	章节生成主循环；P4 直接挂进 _step_generate_chapters
backend/app/agent/presets.py	standard	常量集中处；P4 阈值加这里
backend/app/agent/resilient_llm.py	standard	LLM 调用包装；P4 rewrite_hint 参数穿这里
backend/app/services/prompt_templates.py	high_reasoning	prompt 集中处；P4 反 AI 味负例 + rewrite_hint 段加这里
backend/app/routers/image_generation.py	standard	图像路由；P1 auto_demand 参数加这里
backend/app/routers/vn_graph.py	standard	vngraph 路由；P3 整章接口加这里
backend/app/routers/tts.py	standard	TTS 路由；P2 章节批量接口可扩这里或新增 voice.py
